ANO;MES;SENADOR;TIPO_DESPESA;CNPJ_CPF;FORNECEDOR;DOCUMENTO;DATA;DETALHAMENTO;VALOR_DESPESA;COD_DOCUMENTO
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;9;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;9;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;9;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;9;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;9;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;10;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;11;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;11;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;12;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;12;ACIR GURGACZ;Divulgação da atividade parlamentar;41.845.127/0001-99;J. J. M. CALADO EIRELI;83;15/12/2022;Despesa com divulgação da atividade parlamentar;3000;2191537
2022;12;ACIR GURGACZ;Divulgação da atividade parlamentar;08.941.827/0001-01;RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA;000000000002025/A;13/12/2022;Despesa com divulgação da atividade parlamentar;1500;2191534
2022;12;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;12;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;12;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;12;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;12;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
